"","lon","lat","address"
"106",NA,NA,NA
"107",NA,NA,NA
"108",NA,NA,NA
"109",6.3366212,46.4611998,"avenue général-guisan 1, 1180 rolle, switzerland"
"110",6.3335226,46.4604672,"avenue général-guisan 10, 1180 rolle, switzerland"
"111",6.3287591,46.4566968,"avenue général-guisan 100, 1180 rolle, switzerland"
"112",NA,NA,NA
"113",NA,NA,NA
"114",6.3282629,46.4567729,"avenue général-guisan 104a, 1180 rolle, switzerland"
"115",6.3282118,46.4567274,"avenue général-guisan 104b, 1180 rolle, switzerland"
"116",6.3284125,46.4564595,"avenue général-guisan 106, 1180 rolle, switzerland"
"117",6.328965,46.4563454,"avenue général-guisan 108, 1180 rolle, switzerland"
"118",NA,NA,NA
"119",6.3336561,46.4604062,"avenue général-guisan 10b, 1180 rolle, switzerland"
"120",6.3340121,46.4601848,"avenue général-guisan 11, 1180 rolle, switzerland"
"121",6.3295115,46.4561914,"avenue général-guisan 110, 1180 rolle, switzerland"
"122",6.3292684,46.4559821,"avenue général-guisan 112, 1180 rolle, switzerland"
"123",6.328693,46.4561114,"avenue général-guisan 114, 1180 rolle, switzerland"
"124",6.3279857,46.4563564,"avenue général-guisan 116, 1180 rolle, switzerland"
"125",6.328058,46.456609,"avenue général-guisan 118a, 1180 rolle, switzerland"
"126",6.3279938,46.4565634,"avenue général-guisan 118b, 1180 rolle, switzerland"
"127",6.3331762,46.4603206,"avenue général-guisan 12, 1180 rolle, switzerland"
"128",6.3278791,46.4564453,"avenue général-guisan 120a, 1180 rolle, switzerland"
"129",6.3277891,46.4563904,"avenue général-guisan 120b, 1180 rolle, switzerland"
"130",6.3275831,46.4562805,"avenue général-guisan 122a, 1180 rolle, switzerland"
"131",6.3275191,46.4562258,"avenue général-guisan 122b, 1180 rolle, switzerland"
"132",6.3273268,46.45608,"avenue général-guisan 122c, 1180 rolle, switzerland"
"133",6.3272497,46.4560343,"avenue général-guisan 122d, 1180 rolle, switzerland"
"134",NA,NA,NA
"135",6.3282676,46.4559093,"avenue général-guisan 126, 1180 rolle, switzerland"
"136",6.3287,46.4557696,"avenue général-guisan 128, 1180 rolle, switzerland"
"137",NA,NA,NA
"138",6.3290274,46.4556738,"avenue général-guisan 130, 1180 rolle, switzerland"
"139",6.3330101,46.460166,"avenue général-guisan 14, 1180 rolle, switzerland"
"140",6.3330101,46.460166,"avenue général-guisan 14, 1180 rolle, switzerland"
"141",NA,NA,NA
"142",6.3333352,46.4597689,"avenue général-guisan 16, 1180 rolle, switzerland"
"143",6.3330292,46.4598693,"avenue général-guisan 16b, 1180 rolle, switzerland"
"144",NA,NA,NA
"145",6.3322928,46.4595923,"avenue général-guisan 22, 1180 rolle, switzerland"
"146",NA,NA,NA
"147",6.332165,46.4594741,"avenue général-guisan 24, 1180 rolle, switzerland"
"148",6.3310554,46.4570791,"avenue général-guisan 25, 1180 rolle, switzerland"
"149",NA,NA,NA
"150",NA,NA,NA
"151",6.3314703,46.4590714,"avenue général-guisan 28, 1180 rolle, switzerland"
"152",NA,NA,NA
"153",NA,NA,NA
"154",NA,NA,NA
"155",6.3311843,46.4565046,"avenue général-guisan 31, 1180 rolle, switzerland"
"156",NA,NA,NA
"157",NA,NA,NA
"158",6.3319996,46.4586538,"avenue général-guisan 36, 1180 rolle, switzerland"
"159",NA,NA,NA
"160",6.3313066,46.4587999,"avenue général-guisan 40, 1180 rolle, switzerland"
"161",NA,NA,NA
"162",NA,NA,NA
"163",NA,NA,NA
"164",6.3307158,46.4584073,"avenue général-guisan 44, 1180 rolle, switzerland"
"165",NA,NA,NA
"166",NA,NA,NA
"167",NA,NA,NA
"168",NA,NA,NA
"169",NA,NA,NA
"170",6.3306568,46.4581098,"avenue général-guisan 56, 1180 rolle, switzerland"
"171",6.3300852,46.4580503,"avenue général-guisan 58, 1180 rolle, switzerland"
"172",6.3341128,46.4609955,"avenue général-guisan 6, 1180 rolle, switzerland"
"173",6.3302953,46.4579624,"avenue général-guisan 60, 1180 rolle, switzerland"
"174",6.330714,46.4578585,"avenue général-guisan 62, 1180 rolle, switzerland"
"175",NA,NA,NA
"176",6.3303295,46.4575669,"avenue général-guisan 66, 1180 rolle, switzerland"
"177",6.3299626,46.4576802,"avenue général-guisan 68, 1180 rolle, switzerland"
"178",6.3344319,46.4606657,"avenue général-guisan 7, 1180 rolle, switzerland"
"179",6.3296206,46.4578568,"avenue général-guisan 70, 1180 rolle, switzerland"
"180",6.3293003,46.4576018,"avenue général-guisan 72, 1180 rolle, switzerland"
"181",6.3296582,46.4574759,"avenue général-guisan 74, 1180 rolle, switzerland"
"182",6.3300615,46.4573033,"avenue général-guisan 76, 1180 rolle, switzerland"
"183",6.3305594,46.4571463,"avenue général-guisan 78, 1180 rolle, switzerland"
"184",6.3337146,46.4607307,"avenue général-guisan 8, 1180 rolle, switzerland"
"185",6.3302897,46.4569637,"avenue général-guisan 80, 1180 rolle, switzerland"
"186",6.3298569,46.4571214,"avenue général-guisan 82, 1180 rolle, switzerland"
"187",6.3293741,46.4571797,"avenue général-guisan 84a, 1180 rolle, switzerland"
"188",NA,NA,NA
"189",6.3289282,46.4573372,"avenue général-guisan 86, 1180 rolle, switzerland"
"190",6.3286858,46.4571009,"avenue général-guisan 88a, 1180 rolle, switzerland"
"191",NA,NA,NA
"192",6.3342575,46.4604639,"avenue général-guisan 9, 1180 rolle, switzerland"
"193",6.3290925,46.456943,"avenue général-guisan 90, 1180 rolle, switzerland"
"194",6.3295629,46.4568576,"avenue général-guisan 92, 1180 rolle, switzerland"
"195",6.3300218,46.4567002,"avenue général-guisan 94, 1180 rolle, switzerland"
"196",6.329741,46.4564275,"avenue général-guisan 96, 1180 rolle, switzerland"
"197",6.3293204,46.4566213,"avenue général-guisan 98, 1180 rolle, switzerland"
"198",6.332234,46.4585644,"avenue général-guisan, 1180 rolle, switzerland"
"199",NA,NA,NA
"200",6.345239,46.461868,"rue arthur vittel 7, 1180 rolle, switzerland"
"201",6.3455738,46.4620512,"rue arthur vittel 9, 1180 rolle, switzerland"
"202",6.347135,46.4633977,"chemin de bellefontaine 1, 1180 rolle, switzerland"
"203",6.3333898,46.4537996,"chemin bellevue 10, 1180 rolle, switzerland"
