"","EGID","GAREA","GASTW","GBAUJ","ebf","GKLAS_text","GHEIZ_text","GENHZ_text","GENWW_text","GKAT_text","GWWV","sia","siaNr","nutzung","typ","denkmalschutz","zonenAffecation","uVal_ground","uVal_roof","uVal_wall","uVal_window","uVal_ground_saniert","uVal_roof_saniert","uVal_wall_saniert","uVal_window_saniert","gVal","gVal_saniert","fensterFl","fensterFl_breite","fensterFl_laenge","fensterFl_proz","longitude","latitude","longitude_mt","latitude_mt","breite","laenge","ausricht","enerBed_awel","enerBed_ss","enerBed_vd","enerVer_re","nutzungsgrad","kbob_PEne","kbob_PEer","kbob_GHG","bestand_Geraete","bestand_Beleuchtung","bestand_Lueftung","bestand_Klimakaelte","bestand_Heizwaerme","bestand_Warmwasser","GBAUP"
"1017","829379",128.553874949051,"3","1830",385.661624847152,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Heizöl","Heizöl","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de très faible densité",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,85.7226322049199,34.9137325621598,50.8088996427601,0.2,6.33529764,46.45312807,515230.65604737,145241.27766105,9.39876588045135,13.6777398845983,48.4348345727993,53992.6274786013,51258.2992247715,56820.705882353,5555,0.8,1.23,0.009,0.301,14,5,0,1,93,16,"vor 1919"
"1018","829752",147.056499981754,"4","1935",588.225999927015,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Heizöl","Heizöl","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de faible densité",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,120.946796119182,44.0735577220084,76.8732383971738,0.2,6.33505747,46.45633686,515217.23034534,145598.20782784,9.1821329961421,16.0155053344948,1.64921292247706,104704.227987009,82654.5967319999,96847.0588235294,21420.5,0.8,1.23,0.009,0.301,14,5,0,1,93,16,"1920-1945"
"1019","829735",142.311785012849,"3","1975",426.935355038547,"Gebäude mit 3+ Whgen","ZH für mehrere Gebäude","Gas","Sonnenkollektor","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone de centre historique",0.87,0.57,0.71,2.29,0.25,0.25,0.25,1,0.8,0.55,211.229949216342,33.4027046834601,177.827244532882,0.35,6.33591092,46.45675758,515283.45005377,145644.04919827,5.17025663294872,27.5250911349221,49.6351191396344,73005.9457115915,54904.8841907277,26563.3882352941,6226.5,0.65,0.194,1.41,0.115,14,5,0,1,93,16,"1971-1980"
"1020","829611",182.885199987642,"2","1962",365.770399975284,"Gebäude mit 2 Wohnungen","Zentralheizung für Geb.","Heizöl","Heizöl","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de très faible densité",1.02,0.75,0.85,2,0.25,0.25,0.25,1,0.8,0.55,98.4741963618919,41.8832436305533,56.5909527313385,0.3,6.33545236,46.46001831,515253.32840486,146006.98827011,11.6341841062283,15.7196412157287,33.3329200581322,62546.7383957735,56886.4830683808,53737.4117647059,10284,0.8,1.23,0.009,0.301,14,5,0,1,93,16,"1961-1970"
"1021","829728",103.557184974159,"3","1820",310.671554922476,"Gebäude mit 3+ Whgen","Etagenheizung","Elektrizität","Elektrizität","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone de centre historique",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,74.8687275447393,29.7741922986389,45.0945352461005,0.2,6.33602503,46.45654944,515291.89037476,145620.78997036,8.26890790477572,12.5236834376096,55.521840461019,43494.0176891467,32961.2974728604,41868.3870967742,39479.5,0.95,1.551,0.751,0.102,14,5,0,1,93,16,"vor 1919"
"1022","829573",131.824649987621,"3","1837",395.473949962862,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Gas","Gas","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone de centre historique",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,93.1271154121923,31.4822091141009,61.6449062980914,0.2,6.33679043,46.45706579,515351.49571015,145677.35692223,8.2050704572697,16.06624229178,60.8230857931838,55366.3529948007,47550.108585021,57024,10447,0.65,1.06,0.004,0.228,14,5,0,1,93,16,"vor 1919"
"1023","829633",126.276989991275,"3","1910",378.830969973824,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Gas","Gas","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de faible densité",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,83.1090255827325,34.4058246794059,48.7032009033267,0.2,6.336799,46.46182022,515359.58807439,146205.82258336,9.44494305973729,13.3697989699461,89.4328547510358,53036.3357963354,49184.9680156756,55499.2941176471,NA,0.65,1.06,0.004,0.228,14,5,0,1,93,16,"vor 1919"
"1024","829499",149.204099999539,"3","1860",447.612299998618,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Heizöl","Elektrizität","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone de centre historique",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,120.427307205018,36.488008148564,83.9392990564542,0.2,6.33763495,46.45747395,515417.00863966,145721.81346244,8.05346522335395,18.526695759096,51.5262524093412,62665.7219998065,59507.523713276,64870.1328273245,38408.5,0.8,1.551,0.751,0.102,14,5,0,1,93,16,"vor 1919"
"1025","829563",127.012425018629,"3","1988",381.037275055887,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Gas","Gas","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone de centre historique",0.67,0.38,0.44,2.05,0.25,0.25,0.25,1,0.62,0.55,142.841127765337,62.8366042131914,80.0045235521454,0.35,6.33763,46.45786741,515417.2424107,145765.55350104,9.98785401377056,12.7166881738072,48.5858269690289,45724.4730067065,45585.7505034372,54864,12069,0.65,1.06,0.004,0.228,14,5,0,1,93,16,"1986-1990"
"1026","829583",338.168040505134,"3","1974",1014.5041215154,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Heizöl","Heizöl","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone de centre historique",0.87,0.57,0.71,2.29,0.25,0.25,0.25,1,0.8,0.55,248.241030579091,99.2165316740906,149.024498905,0.35,6.33731173,46.45829295,515393.45914947,145813.19753352,15.0047742600883,22.5373627515769,51.1540050852382,173480.204779134,138948.256441936,153650.823529412,30446,0.8,1.23,0.009,0.301,14,5,0,1,93,16,"1971-1980"
